epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
-0.04,-0.08,0.995249796385825,0.995327489022439,0.995164786698947,0.995312616694156,7.37188088351104e-14,0.00465763864935069
-0.03,-0.08,0.995331416042871,0.995392789475231,0.995270425671244,0.99537740530723,1.38777878078145e-14,0.00459182635676741
-0.02,-0.08,0.995400948986784,0.995446334713539,0.99536357870168,0.995430409406865,2.55351295663786e-14,0.0045377399798045
-0.01,-0.08,0.995458639939353,0.995488374863943,0.995444481667039,0.995471878275009,2.24265050974282e-14,0.00449512854714389
0,-0.08,0.995504748010439,0.995519174160251,0.995504748010439,0.995502075298918,5.90971716007971e-13,0.0044637269778278
0.01,-0.08,0.995539545981256,0.995539010225132,0.995522775309832,0.995521277255712,2.39808173319034e-14,0.00444325680546968
0.02,-0.08,0.995563319547883,0.995548173319386,0.995515757175985,0.995529773565064,1.31006316905768e-14,0.00443342692630007
0.03,-0.08,0.995576366582278,0.995546965589519,0.99549861563366,0.995527865539778,1.34336985979644e-14,0.00443393436073743
0.04,-0.08,0.995578996342203,0.995535700288312,0.9954717701075,0.995515865609847,8.68194405256872e-14,0.00444446503330833
0.05,-0.08,0.995571528689152,0.995514700989214,0.995435548168788,0.995494096540231,1.25455201782643e-13,0.00446469456187867
0.06,-0.08,0.995554293271605,0.995484300775634,0.99539028660758,0.995462890623636,5.10702591327572e-14,0.00449428907234701
0.07,-0.08,0.9955276287394,0.995444841440752,0.995336330628132,0.995422588883833,1.75970349403087e-13,0.00453290600216201
0.08,-0.08,0.995491881901581,0.995396672660764,0.995274033028733,0.995373540252459,2.36699548850083e-13,0.00458019493069802
0.09,-0.08,0.995447406908715,0.995340151173383,0.99520375337925,0.995316100751058,2.92654789291191e-13,0.00463579840400102
0.1,-0.08,0.99539456442318,0.995275639948677,0.995125857189757,0.995250632665476,1.37112543541207e-13,0.00469935276811522
